,sets,expected_units_recieved,item_type,supplier,time_interval
0,"(1, 1, 1)",1000.0,1,1,1
1,"(1, 1, 2)",1000.0,1,1,2
2,"(1, 1, 3)",0.0,1,1,3
3,"(1, 1, 4)",8100.0,1,1,4
4,"(1, 1, 5)",9436.0,1,1,5
5,"(1, 1, 6)",6736.0,1,1,6
6,"(1, 1, 7)",6290.666666666667,1,1,7
7,"(1, 1, 8)",890.6666666666667,1,1,8
8,"(1, 1, 9)",0.0,1,1,9
9,"(1, 1, 10)",0.0,1,1,10
10,"(1, 2, 1)",1000.0,1,2,1
11,"(1, 2, 2)",1000.0,1,2,2
12,"(1, 2, 3)",0.0,1,2,3
13,"(1, 2, 4)",2700.0,1,2,4
14,"(1, 2, 5)",5400.0,1,2,5
15,"(1, 2, 6)",4500.0,1,2,6
16,"(1, 2, 7)",3600.0,1,2,7
17,"(1, 2, 8)",1800.0,1,2,8
18,"(1, 2, 9)",0.0,1,2,9
19,"(1, 2, 10)",0.0,1,2,10
20,"(1, 3, 1)",1000.0,1,3,1
21,"(1, 3, 2)",3700.0,1,3,2
22,"(1, 3, 3)",4500.0,1,3,3
23,"(1, 3, 4)",6300.0,1,3,4
24,"(1, 3, 5)",3600.0,1,3,5
25,"(1, 3, 6)",1800.0,1,3,6
26,"(1, 3, 7)",0.0,1,3,7
27,"(1, 3, 8)",0.0,1,3,8
28,"(1, 3, 9)",0.0,1,3,9
29,"(1, 3, 10)",0.0,1,3,10
30,"(1, 4, 1)",1000.0,1,4,1
31,"(1, 4, 2)",1000.0,1,4,2
32,"(1, 4, 3)",0.0,1,4,3
33,"(1, 4, 4)",2700.0,1,4,4
34,"(1, 4, 5)",5400.0,1,4,5
35,"(1, 4, 6)",6044.0,1,4,6
36,"(1, 4, 7)",5144.0,1,4,7
37,"(1, 4, 8)",2829.333333333333,1,4,8
38,"(1, 4, 9)",1029.3333333333333,1,4,9
39,"(1, 4, 10)",0.0,1,4,10
